Enter a street name to search for: Real Estate Search
['0151734', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0068214', ['Land Class\nCOMMERCL\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'COMMERCL'], ['Soil Class', '4'], ['Deeded Acres', '0.59'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0068214', ['Land Class\nCOMMERCL\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'COMMERCL'], ['Soil Class', '4'], ['Deeded Acres', '0.59'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151735', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151736', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151737', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151738', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151739', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151740', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151741', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
